Designator,Footprint,Mid X,Mid Y,Layer,Rotation
C1,C_0603,172.1500mm,-80.0750mm,T,180.0000
C2,C_0603,172.1500mm,-78.5750mm,T,180.0000
C3,C_0603,178.3000mm,-80.0750mm,T,0.0000
C4,C_0603,178.3000mm,-78.5750mm,T,0.0000
C5,C_0603,164.0250mm,-81.6750mm,T,180.0000
C6,C_0603,166.6500mm,-80.0750mm,T,180.0000
C7,C_0603,161.1250mm,-81.6750mm,T,0.0000
C8,C_0603,164.2750mm,-88.4750mm,T,180.0000
C9,C_0603,164.2750mm,-89.9750mm,T,180.0000
C10,C_0603,168.7500mm,-94.6250mm,T,180.0000
C11,C_0603,180.2500mm,-83.6000mm,T,0.0000
C12,C_0603,176.7500mm,-94.6250mm,T,0.0000
C13,C_0603,188.5500mm,-90.6250mm,T,180.0000
C14,C_0603,180.2500mm,-85.1000mm,T,180.0000
C15,C_0603,188.5500mm,-87.5250mm,T,0.0000
R1,R_0603,172.3250mm,-94.6750mm,T,0.0000
R2,R_0603,169.4000mm,-80.0250mm,T,0.0000
R3,R_0603,162.5750mm,-80.1250mm,T,180.0000
R4,R_0603,164.2750mm,-86.9250mm,T,0.0000
R5,R_0603,180.0750mm,-91.1250mm,T,180.0000
R6,R_0603,180.0750mm,-88.8000mm,T,0.0000
R7,R_0603,188.4000mm,-89.0750mm,T,0.0000
U1,SOT-23,175.2232mm,-79.1750mm,T,90.0000
U2,LQFP-64_10x10mm_Pitch0.5mm,172.2500mm,-87.3500mm,T,0.0000
U3,QFN-24-1EP_4x4mm_Pitch0.5mm,184.0500mm,-88.8250mm,T,90.0000
Y1,SMD-5032,162.6250mm,-84.0000mm,T,180.0000
