Reference, Value, Footprint, Datasheet
U2,stm32-LQFP64,Housings_DFN_QFN:QFN-48-1EP_7x7mm_Pitch0.5mm,
U1,APE8865N-33-HF-3,TO_SOT_Packages_SMD:SOT-23,
C2,104,Capacitors_SMD:C_0603,
C3,104,Capacitors_SMD:C_0603,
C1,106,Capacitors_SMD:C_0805,
C4,106,Capacitors_SMD:C_0805,
C8,104,Capacitors_SMD:C_0603,
C13,104,Capacitors_SMD:C_0603,
C5,104,Capacitors_SMD:C_0603,
C11,104,Capacitors_SMD:C_0603,
R4,10K,Resistors_SMD:R_0603,
C10,104,Capacitors_SMD:C_0603,
C6,20pF,Capacitors_SMD:C_0603,
C7,20pF,Capacitors_SMD:C_0603,
R3,1M,Resistors_SMD:R_0603,
Y1,8MHz,Crystals:crystal_FA238-TSX3225,
C9,12pF,Capacitors_SMD:C_0603,
C12,12pF,Capacitors_SMD:C_0603,
Y2,32.768KHz,Crystals:Crystal_Round_Vertical_2mm,
R2,10K,Resistors_SMD:R_0603,
R1,10K,Resistors_SMD:R_0603,
U4,MPU6050,Housings_DFN_QFN:QFN-24-1EP_4x4mm_Pitch0.5mm,
C17,104,Capacitors_SMD:C_0603,
C19,104,Capacitors_SMD:C_0603,
R6,4.7K,Resistors_SMD:R_0603,
R7,4.7K,Resistors_SMD:R_0603,
C18,2200pF,Capacitors_SMD:C_0603,
R9,4.7K,Resistors_SMD:R_0603,
C14,104,Capacitors_SMD:C_0603,
C16,105,Capacitors_SMD:C_0603,
C15,105,Capacitors_SMD:C_0603,
R5,0,Resistors_SMD:R_0603,
R8,0,Resistors_SMD:R_0603,
P1,CONN_01X01,Wire_Pads:SolderWirePad_single_0-8mmDrill,
P2,CONN_01X01,Wire_Pads:SolderWirePad_single_0-8mmDrill,
P3,CONN_01X01,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
P4,CONN_01X01,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,
U3,MemoryLCD,Connectors_Molex:AYF531,
